Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes	
Acer cissifolium		1	1554							Acer cissifolium								
Acer pensylvanicum		1	1554							Acer pensylvanicum								
Acer griseum		1	1554							Acer griseum								
Acer mandshuricum		1	1554							Acer mandshuricum								
Cupania scrobiculata		1	1554							Cupania scrobiculata								
Guioa koelreuteria		1	1554							Guioa koelreuteria								
Dilodendron bipinnatum		1	1554							Dilodendron bipinnatum								
Plagioscyphus sp		1	1554							Plagioscyphus sp								
Diplokeleba floribunda		1	1554							Diplokeleba floribunda								
Hypelate trifoliata		1	1554							Hypelate trifoliata								
Sapindus saponaria		1	1554							Sapindus saponaria								
Serjania glabrata		1	1554							Serjania glabrata								
Serjania polyphylla		1	1554							Serjania polyphylla								
Thouinia portoricensis		1	1554							Thouinia portoricensis								
Aucoumea klaineana		1	1554							Aucoumea klaineana								
Bursera biflora		1	1554							Bursera biflora								
Bursera penicillata		1	1554							Bursera penicillata								
Bursera infernidialis		1	1554							Bursera infernidialis								
Bursera copallifera		1	1554							Bursera copallifera								
Bursera cuneata		1	1554							Bursera cuneata								
Bursera sarukhanii		1	1554							Bursera sarukhanii								
Bursera hindsiana		1	1554							Bursera hindsiana								
Bursera coyucensis		1	1554							Bursera coyucensis								
Bursera steyermarkii		1	1554							Bursera steyermarkii								
Bursera tecomaca		1	1554							Bursera tecomaca								
Bursera discolor		1	1554							Bursera discolor								
Bursera fagaroides		1	1554							Bursera fagaroides								
Bursera lancifolia		1	1554							Bursera lancifolia								
Bursera microphylla		1	1554							Bursera microphylla								
Bursera longipes		1	1554							Bursera longipes								
Bursera simaruba		1	1554							Bursera simaruba								
Bursera spinescens		1	1554							Bursera spinescens								
Commiphora angolensis		1	1554							Commiphora angolensis								
Commiphora eminii		1	1554							Commiphora eminii								
Commiphora leptophloeos		1	1554							Commiphora leptophloeos								
Commiphora wildii		1	1554							Commiphora wildii								
Commiphora ugogensis		1	1554							Commiphora ugogensis								
Commiphora aprevalii		1	1554							Commiphora aprevalii								
Commiphora falcata		1	1554							Commiphora falcata								
Commiphora saxicola		1	1554							Commiphora saxicola								
Commiphora capensis		1	1554							Commiphora capensis								
Commiphora franciscana		1	1554							Commiphora franciscana								
Commiphora monstruosa		1	1554							Commiphora monstruosa								
Commiphora edulis		1	1554							Commiphora edulis								
Commiphora kua		1	1554							Commiphora kua								
Commiphora wightii		1	1554							Commiphora wightii								
Commiphora schimperi		1	1554							Commiphora schimperi								
Commiphora rostrata		1	1554							Commiphora rostrata								
Protium javanicum		1	1554							Protium javanicum								
Protium pecuniosum		1	1554							Protium pecuniosum								
Protium gallosum		1	1554							Protium gallosum								
Protium calendulinum		1	1554							Protium calendulinum								
Protium amazonicum		1	1554							Protium amazonicum								
Crepidospermum rhoifolium		1	1554							Crepidospermum rhoifolium								
Crepidospermum atlanticum		1	1554							Crepidospermum atlanticum								
Tetragastris varians		1	1554							Tetragastris varians								
Tetragastris hostmannii		1	1554							Tetragastris hostmannii								
Tetragastris catuaba		1	1554							Tetragastris catuaba								
Tetragastris balsamifera		1	1554							Tetragastris balsamifera								
Protium sessiliflorum		1	1554							Protium sessiliflorum								
Protium sagotianum		1	1554							Protium sagotianum								
Protium warmingianum		1	1554							Protium warmingianum								
Protium rhyncophyllum		1	1554							Protium rhyncophyllum								
Protium fragrans		1	1554							Protium fragrans								
Protium serratum		1	1554							Protium serratum								
Protium costaricense		1	1554							Protium costaricense								
Protium confusum		1	1554							Protium confusum								
Protium pittieri		1	1554							Protium pittieri								
Protium copal		1	1554							Protium copal								
Protium panamense		1	1554							Protium panamense								
Protium cranipyrenum		1	1554							Protium cranipyrenum								
Protium aidanianum		1	1554							Protium aidanianum								
Protium puncticulatum		1	1554							Protium puncticulatum								
Protium subacuminatum		1	1554							Protium subacuminatum								
Protium cubense		1	1554							Protium cubense								
Protium demerarense		1	1554							Protium demerarense								
Protium altsonii		1	1554							Protium altsonii								
Protium pallidum		1	1554							Protium pallidum								
Protium divaricatum divaricatum		1	1554							Protium divaricatum divaricatum								
Protium laxiflorum		1	1554							Protium laxiflorum								
Protium nodulosum		1	1554							Protium nodulosum								
Protium decandrum		1	1554							Protium decandrum								
Protium paniculatum paniculatum		1	1554							Protium paniculatum paniculatum								
Protium spruceanum		1	1554							Protium spruceanum								
Protium ovatum		1	1554							Protium ovatum								
Protium attenuatum		1	1554							Protium attenuatum								
Protium nervosum		1	1554							Protium nervosum								
Protium colombianum		1	1554							Protium colombianum								
Protium klugii		1	1554							Protium klugii								
Protium calanense		1	1554							Protium calanense								
Protium aracouchini		1	1554							Protium aracouchini								
Protium heptaphyllum heptaphyllum		1	1554							Protium heptaphyllum heptaphyllum								
Protium icicariba		1	1554							Protium icicariba								
Protium brasiliense		1	1554							Protium brasiliense								
Protium guianense		1	1554							Protium guianense								
Protium pilosum		1	1554							Protium pilosum								
Protium giganteum		1	1554							Protium giganteum								
Protium opacum		1	1554							Protium opacum								
Protium glabrescens		1	1554							Protium glabrescens								
Protium unifoliolatum		1	1554							Protium unifoliolatum								
Protium madagascariense		1	1554							Protium madagascariense								
Protium crassipetalum		1	1554							Protium crassipetalum								
Protium polybotryum		1	1554							Protium polybotryum								
Protium plagiocarpium		1	1554							Protium plagiocarpium								
Boswellia carteri		1	1554							Boswellia carteri								
Boswellia frereana		1	1554							Boswellia frereana								
Boswellia neglecta		1	1554							Boswellia neglecta								
Ambilobea madagascariensis		1	1554							Ambilobea madagascariensis								
Garuga floribunda		1	1554							Garuga floribunda								
Garuga pinnata		1	1554							Garuga pinnata								
Canarium album		1	1554							Canarium album								
Canarium strictum		1	1554							Canarium strictum								
Canarium bengalense		1	1554							Canarium bengalense								
Canarium tramdenum		1	1554							Canarium tramdenum								
Canarium pilosum		1	1554							Canarium pilosum								
Canarium whitei		1	1554							Canarium whitei								
Canarium decumanum		1	1554							Canarium decumanum								
Scutinanthe brunnea		1	1554							Scutinanthe brunnea								
Canarium bullatum		1	1554							Canarium bullatum								
Canarium obtusifolium		1	1554							Canarium obtusifolium								
Canarium subtilis		1	1554							Canarium subtilis								
Canarium globosum		1	1554							Canarium globosum								
Canarium madagascariense		1	1554							Canarium madagascariense								
Canarium vulgare		1	1554							Canarium vulgare								
Canarium indicum		1	1554							Canarium indicum								
Triomma malaccensis		1	1554							Triomma malaccensis								
Canarium zeylanicum		1	1554							Canarium zeylanicum								
Canarium harveyi		1	1554							Canarium harveyi								
Canarium balanensae		1	1554							Canarium balanensae								
Canarium muelleri		1	1554							Canarium muelleri								
Canarium oleiferum		1	1554							Canarium oleiferum								
Santiria apiculata		1	1554							Santiria apiculata								
Santiria griffithii		1	1554							Santiria griffithii								
Dacryodes buettneri		1	1554							Dacryodes buettneri								
Dacryodes edulis		1	1554							Dacryodes edulis								
Dacryodes klaineana		1	1554							Dacryodes klaineana								
Santiria trimera		1	1554							Santiria trimera								
Canarium ovatum		1	1554							Canarium ovatum								
Dacryodes chimantensis		1	1554							Dacryodes chimantensis								
Dacryodes hopkinsii		1	1554							Dacryodes hopkinsii								
Dacryodes excelsa		1	1554							Dacryodes excelsa								
Dacryodes nitens		1	1554							Dacryodes nitens								
Dacryodes peruviana		1	1554							Dacryodes peruviana								
Dacryodes cuspidata		1	1554							Dacryodes cuspidata								
Trattinnickia burserifolia		1	1554							Trattinnickia burserifolia								
Trattinnickia demerarae		1	1554							Trattinnickia demerarae								
