Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Clausilia Clausilia cruciata 1802		1	872	ZMH	I05-12	ZMH 37420	KP271363 		29.07.2005	Clausilia Clausilia cruciata 1802	Hausdorf			620m	Italy	Lombardia	Bagolino	
Neostyriaca corynodes styriaca 1866		1	872	ZMH		ZMH 79839	KP271389		23.07.2000	Neostyriaca corynodes styriaca 1866	Hausdorf			960m	Austria		Bärenschützklamm	
Clausilia dubia gracilior 1867		1	872	ZMH		ZMH 79840	KP271390		23.07.2000	Clausilia dubia gracilior 1867	Hausdorf				Austria		Kugelstein bei Badl	
Neostyriaca corynodes brandti 1868		1	872	ZMH		ZMH 79841	KP271391		28.07.2000	Neostyriaca corynodes brandti 1868	Hausdorf			590m	Auistria		Naßwaldbrücke	
Neostyriaca corynodes corynodes 1876		1	872	ZMH		ZMH 79185	KP271395		14.07.2011	Neostyriaca corynodes corynodes 1876	Nordsieck	" 47°36'50""N"	" 012°33'32""E"		Austria		Waidring	
Neostyriaca strobeli 1853		1	872	ZMH	I05-13	4960	KP271382		29.07.2005	Neostyriaca strobeli 1853	Hausdorf			630m	Italy	Trentino-Alto Adige	Storo	
Clausilia Strobeliella brembina brembina 1857		1	872	ZMH	I05-5	ZMH 37430	KP271384		27.07.2005	Clausilia Strobeliella brembina brembina 1857	Hausdorf			400m	Italy	Lombardia	Algua	
Clausilia Strobeliella brembina brembina 1840		1	872	ZMH	I05-17	ZMH 4949	KP271374		03.08.2005	Clausilia Strobeliella brembina brembina 1840	Hausdorf			500m	Italy	Lombardia	Tacceno	
Clausilia Strobeliella brembina brembina 1813		1	872	ZMH	I11-09	ZMH 79288	KP271371		05.08.2011	Clausilia Strobeliella brembina brembina 1813	Hausdorf			860m	Italy	Lombardia	Zorzone	
Clausilia Strobeliella brembina brembina 1812		1	872	ZMH	I11-09	ZMH 79288	KP271370		05.08.2011	Clausilia Strobeliella brembina brembina 1812	Hausdorf			860m	Italy	Lombardia	Zorzone	
