Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes	
Achillea millefolium		1	1360							Achillea millefolium								
Alnus viridis		1	1360							Alnus viridis								
Arctous alpina		1	1360							Arctous alpina								
Betula glandulosa		1	1360							Betula glandulosa								
Carex sp.		1	1360							Carex sp.								
Cerastium alpinum		1	1360							Cerastium alpinum								
Cerastium arcticum		1	1360							Cerastium arcticum								
Chamerion angustifolium		1	1360							Chamerion angustifolium								
Coptis trifolia		1	1360							Coptis trifolia								
Cornus canadensis		1	1360							Cornus canadensis								
Cystopteris montana		1	1360							Cystopteris montana								
Diapensia lapponica		1	1360							Diapensia lapponica								
Dryas integrifolia		1	1360							Dryas integrifolia								
Empetrum nigrum		1	1360							Empetrum nigrum								
Equisetum sylvaticum		1	1360							Equisetum sylvaticum								
Kalmia angustifolia		1	1360							Kalmia angustifolia								
Kalmia procumbens		1	1360							Kalmia procumbens								
Larix laricina		1	1360							Larix laricina								
Linnaea borealis		1	1360							Linnaea borealis								
Mitella nuda		1	1360							Mitella nuda								
Petasites frigidus		1	1360							Petasites frigidus								
Picea glauca		1	1360							Picea glauca								
Picea sp.		1	1360							Picea sp.								
Poa sp.		1	1360							Poa sp.								
Pyrola grandiflora		1	1360							Pyrola grandiflora								
Rhododendron groenlandicum		1	1360							Rhododendron groenlandicum								
Ribes glandulosum		1	1360							Ribes glandulosum								
Rubus arcticus		1	1360							Rubus arcticus								
Rubus chamaemorus		1	1360							Rubus chamaemorus								
Salix glauca		1	1360							Salix glauca								
Salix herbacea		1	1360							Salix herbacea								
Salix planifolia		1	1360							Salix planifolia								
Salix sp.		1	1360							Salix sp.								
Salix uva-ursi		1	1360							Salix uva-ursi								
Salix vestita		1	1360							Salix vestita								
Solidago macrophylla		1	1360							Solidago macrophylla								
Taraxacum officinale		1	1360							Taraxacum officinale								
Trientalis borealis		1	1360							Trientalis borealis								
Vaccinium caespitosum		1	1360							Vaccinium caespitosum								
Vaccinium myrtilloides		1	1360							Vaccinium myrtilloides								
Vaccinium uliginosum		1	1360							Vaccinium uliginosum								
Vaccinium vitis-idaea		1	1360							Vaccinium vitis-idaea								
Viola sp.		1	1360							Viola sp.								
