Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes	
Pisum sativum		1	3849							Pisum sativum								
Rhamnus prinoides		1	3849							Rhamnus prinoides								
Barbeya oleoides		1	3849							Barbeya oleoides								
Urtica urens		1	3849							Urtica urens								
Ficus carica		1	3849							Ficus carica								
Kerria japonica		1	3849							Kerria japonica								
Neviusia alabamensis		1	3849							Neviusia alabamensis								
Rhodotypos scandens		1	3849							Rhodotypos scandens								
Kageneckia angustifolia		1	3849							Kageneckia angustifolia								
Kageneckia oblonga		1	3849							Kageneckia oblonga								
Lindleya mespiloides		1	3849							Lindleya mespiloides								
Pyrus caucasica		1	3849							Pyrus caucasica								
Pyrus communis		1	3849							Pyrus communis								
Vauquelinia californica		1	3849							Vauquelinia californica								
Aria aria		1	3849							Aria aria								
Chamaemespilus alpina		1	3849							Chamaemespilus alpina								
Cormus domestica		1	3849							Cormus domestica								
Docynia delavayi		1	3849							Docynia delavayi								
Docyniopsis tschonoskii		1	3849							Docyniopsis tschonoskii								
Dichotomanthes tristaniicarpa		1	3849							Dichotomanthes tristaniicarpa								
Pyracantha coccinea		1	3849							Pyracantha coccinea								
Torminalis clusii		1	3849							Torminalis clusii								
Amelanchier bartramiana		1	3849							Amelanchier bartramiana								
Aronia melocarpa		1	3849							Aronia melocarpa								
Chaenomeles sinensis		1	3849							Chaenomeles sinensis								
Chaenomeles cathayensis		1	3849							Chaenomeles cathayensis								
Cotoneaster pannosus		1	3849							Cotoneaster pannosus								
Crataegus monogyna		1	3849							Crataegus monogyna								
Cydonia oblonga		1	3849							Cydonia oblonga								
Eriobotrya japonica		1	3849							Eriobotrya japonica								
Gillenia stipulata		1	3849							Gillenia stipulata								
Gillenia trifoliata		1	3849							Gillenia trifoliata								
Heteromeles arbutifolia		1	3849							Heteromeles arbutifolia								
Lyonothamnus floribundus		1	3849							Lyonothamnus floribundus								
Malacomeles denticulata		1	3849							Malacomeles denticulata								
Malus trilobata		1	3849							Malus trilobata								
Malus sargentii		1	3849							Malus sargentii								
Mespilus germanica		1	3849							Mespilus germanica								
Osteomeles schwerinae		1	3849							Osteomeles schwerinae								
Peraphyllum ramosissimum		1	3849							Peraphyllum ramosissimum								
Photinia serrulata		1	3849							Photinia serrulata								
Physocarpus capitatus		1	3849							Physocarpus capitatus								
Rhaphiolepis indica		1	3849							Rhaphiolepis indica								
Sorbus californica		1	3849							Sorbus californica								
Stephanandra chinensis		1	3849							Stephanandra chinensis								
Stranvaesia davidiana		1	3849							Stranvaesia davidiana								
Prunus laurocerasus		1	3849							Prunus laurocerasus								
Prunus persica		1	3849							Prunus persica								
Pygeum topengii		1	3849							Pygeum topengii								
Maddenia hypoleuca		1	3849							Maddenia hypoleuca								
Neillia thyrsiflora		1	3849							Neillia thyrsiflora								
Exochorda racemosa		1	3849							Exochorda racemosa								
Oemleria cerasiformis		1	3849							Oemleria cerasiformis								
Prinsepia sinensis		1	3849							Prinsepia sinensis								
Aruncus dioicus		1	3849							Aruncus dioicus								
Holodiscus discolor		1	3849							Holodiscus discolor								
Kelseya uniflora		1	3849							Kelseya uniflora								
Luetkea pectinata		1	3849							Luetkea pectinata								
Petrophyton caespitosum		1	3849							Petrophyton caespitosum								
