Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Amphicosmia salleana		1	1722	USDA	USDA-APHIS (in ANSP)	station 97 H 6	KT602628	voucher DUW01328	1997-03-15	Amphicosmia salleana	Robinson, Muratov, Espinosa & Suriel	18.49 N	70.24 W	610 m	Dominican Republic	Provincia San Cristobal	"la Cueva, La Colonia ""Ramfis"" (Majagual)"	
Angulicervix peasei		1	1722	USDA	USDA-APHIS (in ANSP)	station 97H31	KT602613	voucher DUW01359	1997-03-19	Angulicervix peasei	D.G. Robinson & I.V. Muratov	18.06 N	71.29 W	970 m	Dominican Republic	Provincia Barahona	Bretoncito, hill south of Polo, on Breton road	
Anoma levis		1	1722	ANSP	ANSP	Stn JBS492	KT602614	voucher DUW01340	2001-05-12	Anoma levis	G. Rosenberg & Holmes	18.35 N	78.29 W	47 m	Jamaica		Campbelton. 0.8 road km from paved road toward water tan.	
Apoma chemnitzianum		1	1722	ANSP	ANSP	ANSP 404208, A19509, station JBS106	KT602655	voucher DUW01315	1999-09-30	Apoma chemnitzianum	G. Rosenberg & I.V. Muratov	18.10 N	76.96 W	480 m	Jamaica	St. Catharine Parish	Jackson 1.9 road km W of main intersection in Sligoville, primary forest, or old secondary growth, limestone boulders.	
Archegocoptis crenata		1	1722	USDA	USDA-APHIS (in ANSP)	station H-66	EU409898	voucher DUW01335	1997-03-27	Archegocoptis crenata	D.G. Robinson & I.V. Muratov	18.17 N	73.8 W	0 m	Haiti	Departement de l'Ouest	Derodiere, quartier de Torrbeck. Among clay plugs of soil alongside tree roots, under l'arbre veritable (bread-fruit).	
Autocoptis (Autocoptis) adamsiana		1	1722	USDA	USDA-APHIS (in ANSP)	station 97 H38	KT602615	voucher DUW01337	1997-03-20	Autocoptis (Autocoptis) adamsiana	D.G. Robinson & I.V. Muratov	18.14 N	71.56 W	1300 m	Dominican Republic	Provincia Pedernales	"Pines on limestone environment,""Los Pinos"", km 32 on the Alcoa raod, from Cabo Rojo, above bauxite mines."	
Autocoptis (Autocoptis) menkeana		1	1722	USDA	USDA-APHIS (in ANSP)	97H26	EU409908	voucher DUW01361	1997-03-19	Autocoptis (Autocoptis) menkeana	D.G. Robinson	18.38 N	71.13 W	120 m	Dominican Republic		Canoa, just before Vicente Noble military stop along the Azua-Barahona highway	
Autocoptis (Urocoptola) arcuata		1	1722	USDA	USDA-APHIS (in ANSP)	station 97 H 72	KT602616	voucher DUW01353	1997-03-28	Autocoptis (Urocoptola) arcuata	D.G. Robinson & I.V. Muratov	18.16 N	73.98 W	0 m	Haiti	Departement du Sud	Marine Station, Table au Diable, near Roche a Bateau (just south of Coteaux). 	
Autocoptis (Urocoptola) evelynae 1443		1	1722			station 12	KT602618	voucher DUW01443	2006-02-03	Autocoptis (Urocoptola) evelynae 1443	J. Steffek & J. Grego	18.33 N	74.03 W	1191m	Haiti		Cavalere, Iappies 1 km W of Kay Michele, wet limestone forest. 	
Autocoptis (Urocoptola) evelynae 1342		1	1722	USDA	USDA-APHIS (in ANSP)	station 97 H75	KT602617	voucher DUW01342	1997-03-29	Autocoptis (Urocoptola) evelynae 1342	D.G. Robinson	18.43 N	73.90 W	750 m	Haiti	Departement de Grande Anse	Huge limestone slabs, limestone karst environment at Duchity, on road over mountains from Les Cayes to Jeremie.	
