Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Cyanodermella viridula		1	4299				U86583.1			Cyanodermella viridula								
Schizoxylon albescens		1	4299				DQ401142.1			Schizoxylon albescens								
Stictis radiata		1	4299				AY300864.1			Stictis radiata								
Stictis populorum		1	4299				U86582.1			Stictis populorum								
Ostropa barbara		1	4299				AY584666.1			Ostropa barbara								
Absconditella sphagnorum		1	4299				EU940022.1			Absconditella sphagnorum								
Phlyctis argena		1	4299				DQ986725.1			Phlyctis argena								
Pelliciarosea asterica		1	4299				KT758843			Pelliciarosea asterica								
