Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes	
Arnoglossus tenuis		1	11724							Arnoglossus tenuis								
Psettina.iijimae		1	11724							Psettina.iijimae								
Crossorhombus azureus		1	11724							Crossorhombus azureus								
Crossorhombus kobensis		1	11724							Crossorhombus kobensis								
Crossorhombus valderostratus		1	11724							Crossorhombus valderostratus								
Lophonectes gallus		1	11724							Lophonectes gallus								
Arnoglossus polyspilus		1	11724							Arnoglossus polyspilus								
Bothus pantherinus		1	11724							Bothus pantherinus								
Laeops lanceolata		1	11724							Laeops lanceolata								
Paralichthys olivaceus		1	11724							Paralichthys olivaceus								
Platichthys stellatus		1	11724							Platichthys stellatus								
Chascanopsetta lugubris		1	11724							Chascanopsetta lugubris								
Bothus myriaster		1	11724							Bothus myriaster								
