Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Blackstonia perfoliata HM850819 Portugal		1	2051				HM850819			Blackstonia perfoliata HM850819 Portugal								
Blackstonia acuminata AJ011470 Italy		1	2051				AJ011470			Blackstonia acuminata AJ011470 Italy								
Blackstonia impefoliata AJ010506 AJ011435 Italy		1	2051				AJ010506	AJ011435		Blackstonia impefoliata AJ010506 AJ011435 Italy								
Ixanthus viscosus La Gomera a		1	2051				KJ189006			Ixanthus viscosus La Gomera a								
Ixanthus viscosus El Hierro		1	2051				KJ189007			Ixanthus viscosus El Hierro								
Ixanthus viscosus Gran Canaria		1	2051				KJ189008			Ixanthus viscosus Gran Canaria								
Ixanthus viscosus Tenerife Orotava		1	2051				KJ189009			Ixanthus viscosus Tenerife Orotava								
Ixanthus viscosus Tenerife Anaga		1	2051				KJ189010			Ixanthus viscosus Tenerife Anaga								
Ixanthus viscosus La Gomera b		1	2051				KJ189006			Ixanthus viscosus La Gomera b								
Ixanthus viscosus La Palma		1	2051				KJ189011			Ixanthus viscosus La Palma								
Ixanthus viscosus Tenerife Teno		1	2051				KJ189012			Ixanthus viscosus Tenerife Teno								
Logania albiflora AJ388203 AJ388273		1	2051				AJ388203	AJ388273		Logania albiflora AJ388203 AJ388273								
Canscora diffusa AJ388143 AJ388212 Togo		1	2051				AJ388143	AJ388212		Canscora diffusa AJ388143 AJ388212 Togo								
Duplipetala pentanthera AJ010507 AJ01143 Malaysia		1	2051				AJ010507	AJ01143		Duplipetala pentanthera AJ010507 AJ01143 Malaysia								
Centaurium maritimum AJ010508 AJ011437 Italy		1	2051				AJ010508	AJ011437		Centaurium maritimum AJ010508 AJ011437 Italy								
Chelonanthus alatus AJ010520 AJ011449 Bolivia		1	2051				AJ010520	AJ011449		Chelonanthus alatus AJ010520 AJ011449 Bolivia								
Cicendia filiformis AJ010510 AJ011439 France		1	2051				AJ010510	AJ011439		Cicendia filiformis AJ010510 AJ011439 France								
Cinchona pubescens Z70197		1	2051				Z70197			Cinchona pubescens Z70197								
