Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Sedum rupestre HE999675		1	628				HE999675			Sedum rupestre HE999675								
Sedum modestum FN601403 Morocco		1	628				FN601403			Sedum modestum FN601403 Morocco								
Sedum surculosum FN601401 Morocco		1	628				FN601401			Sedum surculosum FN601401 Morocco								
Sedum caeruleum FN601400		1	628				FN601400			Sedum caeruleum FN601400								
Sedum pubescens FN601399		1	628				FN601399			Sedum pubescens FN601399								
Sedum modestum AY082101		1	628				AY082101			Sedum modestum AY082101								
Sedum jaccardianum FN601402 Morocco		1	628				FN601402			Sedum jaccardianum FN601402 Morocco								
Sedum jaccardianum AY082101 Morocco		1	628				AY082101			Sedum jaccardianum AY082101 Morocco								
Monanthes icterica AY082108 CA		1	628				AY082108 			Monanthes icterica AY082108 CA								
Greenovia diplocycla AY082109 CA		1	628				AY082109			Greenovia diplocycla AY082109 CA								
Greenovia aurea AY082110 CA		1	628				AY082110			Greenovia aurea AY082110 CA								
Greenovia aurea AY082111 CA		1	628				AY082111			Greenovia aurea AY082111 CA								
Greenovia aizoon AY082112 CA T		1	628				AY082112			Greenovia aizoon AY082112 CA T								
Monanthes amydros AY082113 CA G		1	628				AY082113			Monanthes amydros AY082113 CA G								
Monanthes anagensis AY082114 CA T		1	628				AY082114			Monanthes anagensis AY082114 CA T								
Monanthes brachycaulon AY082115 CA		1	628				AY082115 			Monanthes brachycaulon AY082115 CA								
Monanthes laxiflora AY082116 CA		1	628				AY082116			Monanthes laxiflora AY082116 CA								
Monanthes subcrassicaulis AY082117 CA		1	628				AY082117			Monanthes subcrassicaulis AY082117 CA								
Monanthes adenoscepes AY082118 CA T		1	628				AY082118 			Monanthes adenoscepes AY082118 CA T								
Monanthes minima AY082119 CA T		1	628				AY082119 			Monanthes minima AY082119 CA T								
Aeonium balsamiferum AY082120 CA		1	628				AY082120			Aeonium balsamiferum AY082120 CA								
Aeonium volkeri AY082121 CA T		1	628				AY082121			Aeonium volkeri AY082121 CA T								
Aeonium canariense AY082122 CA T		1	628				AY082122			Aeonium canariense AY082122 CA T								
Aeonium virgineum Y082123 CA C		1	628				AY082123			Aeonium virgineum Y082123 CA C								
